	228
ADDISLEIGH PARK      NY 11434-1416	2
AGOURA HILLS         CA 91301-1737	1
AKRON                OH 44313-5067	1
ALBANY               NY 12207-1707	1
ALBANY               NY 12207-2837	7
ALBANY               NY 12207-2942	1
ALBANY               NY 12210-2822	1
ALBANY               NY 12226-1799	1
ALBANY               NY 12233	2
ALBERTSON            NY 11507	1
ALBERTSON            NY 11507-0802	4
ALBERTSON            NY 11507-1013	1
ALBERTSON            NY 11507-1212	1
ALBERTSON            NY 11507-1412	1
ALBERTSON            NY 11507-1415	1
ALBERTSON            NY 11507-1426	1
ALBERTSON            NY 11507-1502	1
ALBERTSON            NY 11507-1807	1
ALBERTSON            NY 11507-1939	1
ALBERTSON            NY 11507-2207	1
ALBUQUERQUE          NM 87109-3835	4
ALEXANDRIA           VA 22306-1112	1
ALISO VIEJO          CA 92656-2686	1
ALLEN                TX 75013-5390	1
ALLENDALE            NJ 07401-1822	1
ALLENDALE            NJ 07401-2002	2
ALLENDALE            NJ 07401-2233	1
ALPINE               NJ 07620	9
ALPINE               NJ 07620-0319	1
ALPINE               NJ 07620-0819	2
AMAGANSETT           NY 11930-2493	1
AMARILLO             TX 79124-1321	1
AMHERST              NH 03031-2416	1
AMITYVILLE           NY 11701-3747	1
ANDOVER              MA 01810-2446	2
ANDOVER              MA 01810-5010	2
ANN ARBOR            MI 48105-3014	1
ANN ARBOR            MI 48108-8641	1
ANNAPOLIS            MD 21403-5025	1
APO                  AP 96204-3075	2
APT 2B	1
ARDEN                NC 28704	1
ARKVILLE             NY 12406-1359	1
ARLINGTON            VA 22201-2176	1
ARLINGTON            VA 22203-2138	1
ARLINGTON            VA 22209-1714	1
ARMONK               NY 10504-1130	2
ARMONK               NY 10504-1705	2
ARNOLD               MD 21012-2124	1
ARVERNE              NY 11692-1134	1
ARVERNE              NY 11692-1264	1
ARVERNE              NY 11692-1293	2
ARVERNE              NY 11692-1305	1
ARVERNE              NY 11692-1401	1
ARVERNE              NY 11692-1884	4
ARVERNE              NY 11692-2008	1
