	3
********************	708
-  301 BEVERLY ROAD	1
- 302 BEVERLY ROAD	1
- 3024 BEVERLY ROAD	1
000	1
0000	1
00000000000000000	17
01 COUNTRY CLUB ROAD	1
02 COUNTRY CLUB ROAD	1
03 COUNTRY CLUB ROAD	1
04 COUNTRY CLUB ROAD	1
09 COUNTRY CLUB ROAD	1
1 AVENUE	8665
1 COURT	2
1 PLACE	29
1 ST	1
1 STREET	203
1/2 138 PLACE	3
1/2 2 AVENUE	21
1/2 5 AVENUE	10
1/2 7 AVENUE SOUTH	16
1/2 ADRIAN AVENUE	2
1/2 BEDFORD STREET	8
1/2 BLEECKER STREET	15
1/2 BOWERY	13
1/2 BRIGGS AVENUE	28
1/2 CANAL STREET	12
1/2 CATHERINE STREET	12
1/2 DELANCEY STREET	12
1/2 DOWNING STREET	10
1/2 EAST 1 STREET	13
1/2 EAST 115 STREET	21
1/2 EAST 118 STREET	23
1/2 EAST 33 STREET	5
1/2 EAST 50 STREET	8
1/2 EAST 7 STREET	15
1/2 EAST 75 STREET	7
1/2 EAST 76 STREET	9
1/2 EAST 83 STREET	4
1/2 EAST 84 STREET	20
1/2 EAST 9 STREET	16
1/2 ELDRIDGE STREET	10
1/2 GROVE STREET	8
1/2 HUDSON STREET	25
1/2 IRVING PLACE	7
1/2 JACKSON STREET	7
1/2 JANE STREET	9
1/2 KING STREET	9
1/2 LAUREL AVENUE	2
1/2 LUDLOW STREET	13
1/2 MANHATTAN AVENUE	11
1/2 MAPES AVENUE	33
1/2 MARKET STREET	2
1/2 MULBERRY STREET	17
1/2 PACIFIC STREET	1
1/2 POWELL AVENUE	1
1/2 ROGERS AVENUE	25
1/2 ST LUKE'S PLACE	2
1/2 ST LUKES PLACE	4
1/2 ST MARK'S PLACE	10
1/2 ST MARKS PLACE	27
1/2 STATE STREET	4
1/2 UNION AVENUE	4
1/2 VAN CORLEAR PLACE	2
1/2 VINCENT AVENUE	1
1/2 WEST 15 STREET	6
1/2 WEST 26 STREET	4
10 AVENUE	2687
10 COUNTRY CLUB ROAD	1
10 STREET	458
100 AVENUE	54
100 DRIVE	2
100 ROAD	5
100 STREET	123
100TH STREET	5
101 AVENUE	282
101 ROAD	7
101 STREET	256
101ST AVE	2
101ST AVENUE	16
101ST STREET	6
102 AVENUE	77
102 ROAD	24
102 STREET	552
102ND AVENUE	2
102ND ROAD	2
102ND STREET	3
103 AVENUE	84
103 DRIVE	4
103 ROAD	10
103 STREET	296
103RD AVENUE	2
103RD ST	4
103RD STREET	10
104 AVENUE	92
104 ROAD	6
104 STREET	379
104TH ST	1
104TH STREET	5
105 AVENUE	159
105 STREET	135
105TH AVENUE	4
105TH ST	1
105TH STREET	4
106 AVENUE	253
106 ROAD	23
106 STREET	121
106TH AVENUE	15
106TH ST	3
106TH STREET	1
107 AVENUE	398
107 STREET	112
107TH AVE	3
107TH AVENUE	6
107TH STREET	5
108 AVENUE	106
108 DRIVE	13
108 ROAD	1
108 STREET	522
108TH AVE	1
108TH ST	5
108TH STREET	14
109 AVENUE	357
109 DRIVE	23
109 ROAD	62
109 STREET	96
109TH AVE	15
109TH AVENUE	13
109TH ROAD	1
109TH STREET	6
10TH AVE	3
10TH AVENUE	20
10TH ST	12
10TH STREET	15
11 AVENUE	881
11 ST	2
11 STREET	569
110 AVENUE	151
110 ROAD	40
110 STREET	160
110TH STREET	12
111 AVENUE	242
111 ROAD	30
111 ST	2
111 STREET	475
111TH AVE	15
111TH AVENUE	19
111TH ST	3
111TH STREET	5
112 AVENUE	55
112 ROAD	50
112 STREET	121
112TH AVENUE	5
112TH ROAD	2
112TH STREET	1
113 AVENUE	126
113 DRIVE	25
113 ROAD	28
113 STREET	71
113TH AVENUE	3
113TH STREET	6
114 AVENUE	24
114 DRIVE	200
114 PLACE	6
114 ROAD	46
114 STREET	103
114 TERRACE	2
114TH PLACE	2
114TH STREET	2
115 AVENUE	184
115 COURT	4
115 DRIVE	46
115 ROAD	42
115 STREET	156
115 TERRACE	12
115TH AVENUE	2
115TH ST	1
115TH STREET	1
116 AVENUE	242
116 DRIVE	15
116 ROAD	103
116 STREET	131
116TH STREET	1
117 ROAD	26
117 STREET	120
117TH ST	1
117TH STREET	13
118 AVENUE	83
118 ROAD	21
118 STREET	209
118TH AVENUE	2
118TH STREET	1
119 AVENUE	91
119 DRIVE	7
119 ROAD	40
119 STREET	12
119TH AVENUE	1
119TH RD	3
119TH ROAD	2
11TH AVE	1
11TH AVENUE	2
11TH ST	4
11TH STREET	7
12 AVENUE	177
12 ROAD	19
12 STREET	453
120 AVENUE	134
120 ROAD	11
120 STREET	205
120TH ROAD	1
120TH ST	8
120TH STREET	13
121 AVENUE	26
121 STREET	139
121ST ST	1
121ST STREET	7
122 AVENUE	62
122 PLACE	14
122 STREET	94
122ND ST	1
122ND STREET	1
123 AVENUE	84
123 STREET	128
123RD AVENUE	2
123RD STREET	10
124 AVENUE	4
124 STREET	68
124TH ST	1
124TH STREET	20
125 AVENUE	12
125 STREET	192
125TH STREET	21
126 AVENUE	33
126 PLACE	1
126 STREET	163
126TH STREET	3
127 AVENUE	24
127 STREET	108
127TH ST	1
128 AVENUE	8
128 STREET	109
128TH STREET	2
129 AVENUE	13
129 STREET	172
1291 GRANT AVENUE	4
129TH AVENUE	2
129TH STREET	1
12TH AVE	1
12TH AVENUE	3
12TH ST	7
12TH STREET	26
13 AVENUE	118
13 STREET	214
130 AVENUE	98
130 DRIVE	5
130 PLACE	2
130 ROAD	3
130 STREET	188
130TH STREET	3
131 AVENUE	57
131 ROAD	1
131 STREET	117
131ST ST	6
131ST STREET	6
132 AVENUE	16
132 ROAD	26
132 STREET	136
132ND ROAD	1
132ND STREET	8
133 AVENUE	103
133 PLACE	1
133 ROAD	19
133 STREET	143
133RD AVE	2
133RD AVENUE	4
133RD ROAD	1
133RD ST	1
134 AVENUE	62
134 ROAD	13
134 STREET	158
134TH ST	1
134TH STREET	2
135 AVENUE	94
135 DRIVE	2
135 PLACE	81
135 ROAD	5
135 STREET	214
135TH ST	2
136 AVENUE	19
136 ROAD	13
136 STREET	37
137 AVENUE	42
137 ROAD	18
137 STREET	91
137TH AVENUE	2
137TH STREET	1
138 AVENUE	10
138 PLACE	154
138 ROAD	13
138 STREET	298
138TH PLACE	3
138TH ST	1
138TH STREET	5
139 AVENUE	52
139 STREET	318
139TH STREET	2
13TH AVENUE	1
13TH STREET	13
14 AVENUE	244
14 ROAD	39
14 STREET	242
140 AVENUE	85
140 STREET	79
140 TH STREET	2
140TH ST	3
140TH STREET	5
141 AVENUE	98
141 ROAD	8
141 STREET	51
1415 RICHMOND AVENUE	1
141ST AVE	1
141ST AVENUE	5
141ST ST	1
142 AVENUE	2
142 ND STREET	1
142 PLACE	21
142 ROAD	3
142 STREET	129
142 WEST 72 STREET	4
142ND PL	1
142ND PLACE	1
143 AVENUE	26
143 ROAD	23
143 STREET	342
143RD AVENUE	2
143RD ST	2
143RD STREET	7
144 AVENUE	80
144 DRIVE	4
144 PLACE	97
144 ROAD	16
144 STREET	261
144 TERRACE	10
144TH ST	1
144TH STREET	2
145 AVENUE	58
145 DRIVE	16
145 PLACE	3
145 ROAD	15
145 STREET	456
145TH ROAD	1
145TH ST	1
146 AVENUE	11
146 DRIVE	7
146 ROAD	19
146 STREET	793
146TH ST	1
146TH STREET	3
147 AVENUE	49
147 DRIVE	21
147 PLACE	64
147 ROAD	12
147 STREET	241
147TH ROAD	2
148 AVENUE	36
